JUDGMENT_GOODJUDGMENT_GOOD34607.38916015625,-107.38916015625,NOTE_5,
JUDGMENT_BAD34656.89892578125,-156.89892578125,NOTE_6,
JUDGMENT_COOLJUDGMENT_GOOD35723.51708984375,-98.51708984375,NOTE_5,
JUDGMENT_BAD35756.699951171875,-131.699951171875,NOTE_6,
JUDGMENT_GOOD36090.574951171875,-90.574951171875,NOTE_3,
JUDGMENT_BAD36240.338134765625,-146.588134765625,NOTE_3,
JUDGMENT_COOL36406.97998046875,-31.97998046875,NOTE_2,
JUDGMENT_COOL36957.386962890625,-19.886962890625,NOTE_2,
JUDGMENT_GOOD37225.01806640625,-100.01806640625,NOTE_7,
JUDGMENT_COOL37374.213134765625,32.036865234375,NOTE_2,
JUDGMENT_BAD37707.8330078125,167.1669921875,NOTE_3,
JUDGMENT_COOL38391.70703125,45.79296875,NOTE_3,
JUDGMENT_GOOD38741.509033203125,-116.509033203125,NOTE_7,
JUDGMENT_GOOD38960.754150390625,-54.504150390625,NOTE_3,
JUDGMENT_GOOD39108.4619140625,-108.4619140625,NOTE_5,
JUDGMENT_GOOD40226.135009765625,-101.135009765625,NOTE_7,
JUDGMENT_GOOD40577.201171875,-77.201171875,NOTE_5,
JUDGMENT_BAD40859.555908203125,-172.055908203125,NOTE_7,
JUDGMENT_BAD41227.357177734375,-164.857177734375,NOTE_7,
JUDGMENT_GOOD41559.76904296875,-122.26904296875,NOTE_7,
JUDGMENT_GOOD41693.175048828125,-68.175048828125,NOTE_5,
JUDGMENT_GOOD41894.003173828125,-81.503173828125,NOTE_3,
JUDGMENT_COOL42026.947021484375,-26.947021484375,NOTE_3,
JUDGMENT_BAD42327.62109375,-140.12109375,NOTE_2,
JUDGMENT_GOOD42677.34912109375,-114.84912109375,NOTE_2,
JUDGMENT_BAD43078.825927734375,-141.325927734375,NOTE_2,
JUDGMENT_BAD43294.659912109375,-169.659912109375,NOTE_7,
JUDGMENT_GOOD43428.48193359375,-115.98193359375,NOTE_2,
JUDGMENT_GOOD43795.22705078125,-107.72705078125,NOTE_3,
JUDGMENT_GOOD44144.406982421875,-81.906982421875,NOTE_3,
JUDGMENT_BAD44578.85888671875,-141.35888671875,NOTE_3,
JUDGMENT_GOOD44728.616943359375,-103.616943359375,NOTE_7,
JUDGMENT_GOOD44912.852783203125,-100.352783203125,NOTE_3,
JUDGMENT_GOOD45079.428955078125,-79.428955078125,NOTE_5,
JUDGMENT_GOOD46196.216064453125,-71.216064453125,NOTE_7,
JUDGMENT_GOODJUDGMENT_GOOD47347.248046875,-97.248046875,NOTE_5,
JUDGMENT_GOODJUDGMENT_BAD48180.787841796875,-180.787841796875,NOTE_6,
JUDGMENT_COOLJUDGMENT_GOOD49582.43798828125,-82.43798828125,NOTE_5,
JUDGMENT_GOODJUDGMENT_BAD50431.19775390625,-181.19775390625,NOTE_3,
JUDGMENT_GOOD51098.041015625,-98.041015625,NOTE_2,
JUDGMENT_GOODJUDGMENT_GOODJUDGMENT_GOOD52615.968994140625,-115.968994140625,NOTE_3,
JUDGMENT_COOL54033.3720703125,-33.3720703125,NOTE_7,
JUDGMENT_COOL57018.611083984375,-18.611083984375,NOTE_3,
JUDGMENT_MISS57952.641845703125,-202.641845703125,NOTE_6
JUDGMENT_GOOD58586.325927734375,-86.325927734375,NOTE_5,
JUDGMENT_GOOD58602.468994140625,-102.468994140625,NOTE_3,
JUDGMENT_GOOD60070.337890625,-70.337890625,NOTE_3,
JUDGMENT_COOL60387.77783203125,-12.77783203125,NOTE_5,
JUDGMENT_COOL61720.237060546875,-32.737060546875,NOTE_5,
